Clone	Chrom	kb	kbGenome	MCF7	SKBR3
CTB-177H5	1	114548.311	114548.311	0.588653	0.169923
GS-249B10	1	114548.311	114548.311	1.895145	0.111783
RP11-192J8	1	117849.071	117849.071	0.288524	0.252036
RP11-29M22	1	119504.521	119504.521	0.316395	0.307493
RP11-105E14	1	143222.844	143222.844	0.666271	0.584362
RP11-30I17	1	143379.184	143379.184	0.501126	0.664221
CTD-2077L2	1	148481.19	148481.19	NA	0.597799
RP11-126K1	1	148481.706	148481.706	-0.248453	0.407167
RP11-71L20	1	148496.934	148496.934	0.83497	0.508971
RP11-139D23	1	149028.072	149028.072	-0.344473	0.544196
RP11-163D16	1	152151.611	152151.611	-0.315822	-0.107816
BAL15B2639	1	152361.559	152361.559	-0.679396	-0.169661
CTD-2115P10	1	153928.747	153928.747	-0.151687	-0.4441305
RP11-107D16	1	153996.556	153996.556	0.324727	0.638608
RMC01P001	1	154047.518	154047.518	0.324045	0.798616
RP11-137M19	1	156281.991	156281.991	-0.225309	0.600885
RP11-97G24	1	157693.009	157693.009	-0.054129	0.599969
RP11-8D14	1	157811.677	157811.677	-0.062857	0.471291
RP11-260G23	1	159633.853	159633.853	0.029333	0.499301
CTD-2068B9	1	159925.955	159925.955	0.400914	0.535718
RP11-223F11	1	159937.413	159937.413	0.381425	0.462051
CTD-2096I16	1	160212.839	160212.839	NA	0.52222
RP11-193J5	1	163240.621	163240.621	-0.154533	0.571524
RP11-234M3	1	164403.461	164403.461	-0.094092	0.502112
RP11-28D10	1	164791.504	164791.504	NA	0.822116
RP11-167M6	1	164980.177	164980.177	NA	0.484558
RP11-249C5	1	165280.026	165280.026	-0.125513	0.541965
RP11-171H24	1	165441.792	165441.792	0.11224	0.736595
RP11-184N12	1	167344.748	167344.748	NA	0.355738
RP11-165A8	1	167931.483	167931.483	NA	0.404033
CTD-2084F3	1	168843.932	168843.932	0.125267	0.366479
RMC01P068	1	169741.635	169741.635	0.20509	0.076108
RP11-177M16	1	171601.892	171601.892	-0.07853	0.487601
RP11-137N24	1	172361.119	172361.119	0.197803	0.589809
RP11-4J2	1	174527.558	174527.558	0.322939	0.584871
RP11-152A16	1	176316.132	176316.132	0.930852	0.390477
RP11-212K9	1	180112.875	180112.875	0.186442	NA
GS-229A1	1	180394.779	180394.779	0.309688	0.583023
RP11-118P13	1	182394.19	182394.19	0.177712	0.448096
RP11-162L13	1	182956.232	182956.232	0.149129	0.553916
RP11-71C11	1	185063.053	185063.053	0.214957	0.556963
RP11-134C1	1	185224.408	185224.408	0.084221	0.412658
CTD-2008I16	1	193921.282	193921.282	-0.936387	0.492546
BAL01B2592	1	195851.323	195851.323	0.731037	0.177307
RP11-249C10	1	197402.639	197402.639	0.535539	0.569291
RP11-150L7	1	198433.987	198433.987	0.64027	0.804559
RMC01P074	1	199181.297	199181.297	0.323492	0.614426
RP11-246J15	1	199369.319	199369.319	0.61882	0.70951
RP11-65I22	1	199789.306	199789.306	0.591517	0.549134
CTD-2145H2	1	201306.53	201306.53	0.481378	0.742955
RP11-284G5	1	201454.69	201454.69	0.125432	NA
RP11-148K15	1	201749.09	201749.09	0.663152	0.721256
RP11-243M13	1	202081.419	202081.419	0.497265	0.81145
RP11-249H15	1	202635.871	202635.871	0.625762	0.765384
RP11-219P13	1	202892.741	202892.741	0.595146	0.631745
RP11-57I17	1	204828.862	204828.862	0.452004	0.43496
RP11-45F21	1	205468.326	205468.326	-0.438622	0.619697
RP11-167J2	1	206664.598	206664.598	-0.633825	0.585586
RP11-104A2	1	207093.339	207093.339	-0.362479	0.408474
RP11-123O6	1	208484.061	208484.061	-0.231697	0.463335
RP11-216F1	1	209139.683	209139.683	-0.335867	0.743605
RP11-193P21	1	210104.548	210104.548	-0.278475	0.441386
RP11-74E6	1	211594.38	211594.38	-0.406343	0.698178
RP11-124A11	1	212701.93	212701.93	0.589872	0.511281
RP11-131M16	1	213195.551	213195.551	-0.021225	-0.042721
RP11-66M7	1	214199.815	214199.815	0.48324	0.438116
RP11-260A10	1	214205.456	214205.456	0.621843	NA
CTD-2064P10	1	215635.418	215635.418	-0.601351	0.578175
RP11-211K12	1	216256.949	216256.949	0.439235	0.418679
RP11-149C8	1	219212.506	219212.506	0.010475	0.364837
CTD-2235K13	1	220942.421	220942.421	0.223617	0.542074
RP11-192M1	1	223184.295	223184.295	0.152403	0.604207
RP11-210E16	1	229578.924	229578.924	0.030171	0.136765
CTD-2021E15	1	232755.281	232755.281	0.101042	0.167189
CTD-2159A18	1	233669.461	233669.461	0.116635	0.051497
RP11-130I13	1	236590.326	236590.326	0.082687	0.056152
CTD-2122L7	1	237178.563	237178.563	-0.02022	-0.181732
RP11-210F8	1	238647.36	238647.36	0.194271	0.056066
RP11-194F13	1	238740.858	238740.858	-0.019696	0.006278
RP11-212E22	1	239819.282	239819.282	0.289931	0.333077
RP11-188A4	1	239937.199	239937.199	0.05709	-0.031917
GS1-8L3	2	0.001	246127.941	-0.163771	-0.119685
RP11-297I3	2	2390.956	248518.897	-0.140325	0.02491
RP11-337M10	2	3931.262	250059.203	-0.110711	0.025365
RP11-350H23	2	5868.533	251996.474	NA	0.049382
RP11-557N1	2	6585.353	252713.294	-0.105333	-0.013119
RP11-200F14	2	6679.939	252807.88	-0.028766	-0.089173
RP11-439M11	2	6962.437	253090.378	0.169719	0.157145
RP11-542B5	2	8136.259	254264.2	0.051715	0.138991
RP11-434B12	2	8710.224	254838.165	0.109776	0.19957
RP11-327F6	2	8885.657	255013.598	NA	0.155816
RP11-185P14	2	9618.718	255746.659	0.14304	0.136803
RP11-87J7	2	10565.27	256693.211	0.164275	0.332206
RP11-320M2	2	10602.324	256730.265	0.121994	0.200435
RP11-4K20	2	11073.792	257201.733	0.1175425	0.238678
RP11-295J19	2	11312.784	257440.725	0.318377	0.431432
RP11-484O9	2	11884.4	258012.341	NA	0.054003
RP11-496P1	2	14256.75	260384.691	-0.0185185	-0.008276
RP11-81F24	2	15249.001	261376.942	NA	0.012874
RP1-254N16	2	16107.955	262235.896	-0.027966	0.042598
RP11-355H10	2	16108.95	262236.891	NA	0.040964
CTD-2043G8	2	16108.95	262236.891	0.0720985	-0.130235
RP11-171A13	2	19239.407	265367.348	0	0.038114
RP11-111P18	2	19795.57	265923.511	0.134543	0.248665
RP11-513P11	2	20593.822	266721.763	0.078656	0.172565
RP11-116D2	2	21158.602	267286.543	0.057932	-0.069044
RP11-560C7	2	23119.598	269247.539	0.068503	-0.0536105
RP11-414D15	2	23654.957	269782.898	0.178269	0.189231
RP11-507M3	2	24245.324	270373.265	0.122234	0.040292
RP11-306N14	2	24594.13	270722.071	0.010021	0.176726
RP11-443B20	2	24994.712	271122.653	0.1423555	0.1906925
RP11-509E16	2	25316.682	271444.623	0.19379	0.205218
RP11-527I18	2	26765.806	272893.747	0.275669	0.252195
RP11-538J11	2	27414.41	273542.351	0.088143	0.062036
RP11-45M3	2	27502.063	273630.004	0.234188	0.23152
RP11-373D23	2	28535.487	274663.428	0.146029	0.223129
RP11-57F9	2	28577.816	274705.757	NA	0.092468
RP11-72H12	2	28877.119	275005.06	0.122954	0.183094
RP11-328L16	2	29382.142	275510.083	0.119795	0.147333
RP11-62F14	2	31035.626	277163.567	-0.236035	-0.213549
RP11-541A15	2	31330.167	277458.108	0.2193855	0.1330885
RP11-444D15	2	32223.542	278351.483	0.255107	0.050139
RP11-93O2	2	32482.661	278610.602	-0.030424	-0.096463
RP11-77G15	2	34254.496	280382.437	-0.121083	-0.058864
RP11-257N21	2	34332.106	280460.047	-0.00349	NA
RP11-119B15	2	35887.668	282015.609	NA	-0.210646
RP11-163N23	2	36573.903	282701.844	0.093967	0.103008
RMC02P020	2	37308.283	283436.224	0.167707	0.014985
RP11-32C8	2	38462.779	284590.72	0.072428	0.1448285
RP11-173C1	2	39192.361	285320.302	0.005325	-0.654961
RP11-299C5	2	42454.824	288582.765	0.15274	NA
RP11-128C5	2	44048.517	290176.458	0.165609	0.045553
RP11-119J12	2	45906.115	292034.056	NA	0.172947
RP11-110G2	2	46226.1	292354.041	0.062971	0.172528
RP11-180L21	2	46240.155	292368.096	0.056358	0.067913
RP11-130P22	2	46417.853	292545.794	0.127868	0.237629
RP11-436K12	2	47598.518	293726.459	0.176812	0.148982
CTD-2084O7	2	47684.622	293812.563	-0.006922	-0.103212
RP11-82P15	2	51260.499	297388.44	NA	-0.402466
RP11-494H5	2	55917.258	302045.199	0.053148	0.047049
RP11-482H16	2	56464.715	302592.656	-0.053647	-0.074581
RP11-728F15	2	57492.738	303620.679	-0.179656	-0.207211
RP11-90D1	2	59262.177	305390.118	-0.066899	0.156246
GS-274P9	2	61124.201	307252.142	NA	0.101867
RP11-17D23	2	61499.697	307627.638	0.03127	0.093222
RP11-270B14	2	62232.762	308360.703	0.255835	NA
RP11-240J3	2	63881.58	310009.521	0.03668	0.033494
RP11-447N19	2	64122.259	310250.2	0.13805	0.081303
RP11-568N6	2	64599.299	310727.24	0.127537	0.125872
RP11-263L17	2	65704.389	311832.33	0.223976	0.22493
RP11-340F16	2	65881.133	312009.074	0.025814	0.088874
RP11-547F18	2	67098.899	313226.84	-0.036811	-0.137801
RP11-68A1	2	67703.314	313831.255	0.034852	-0.017775
RP11-474G23	2	68282.155	314410.096	0.137051	0.118044
RP11-218N6	2	68478.433	314606.374	0.037449	0.247219
CTD-2003M22	2	68566.957	314694.898	-0.008399	-0.003873
RP11-401N16	2	69950.883	316078.824	0.07074	0.077686
RP11-24P23	2	70525.845	316653.786	0.099004	0.120007
RP11-480F1	2	70648.956	316776.897	0.323028	NA
CTD-2018D13	2	70648.956	316776.897	0.129893	0.160752
RP11-356H17	2	71743.628	317871.569	0.131462	0.240994
RP11-154H15	2	73126.913	319254.854	0.118162	0.097501
RP11-87C16	2	73389.978	319517.919	0.179606	NA
RP11-140K4	2	74736.763	320864.704	0.054382	0.096449
CTD-2104P11	2	75250.844	321378.785	0.085472	0.078143
RP11-63D13	2	79682.3	325810.241	-0.047759	-0.018966
RP11-82B19	2	84963.268	331091.209	0.29656	0.075529
RP11-688J22	2	85993.006	332120.947	0.198891	0.377138
RP11-84M16	2	86051.378	332179.319	0.4003	0.183041
RP11-554H10	2	88494.981	334622.922	0.04795	-0.028422
RP11-139J6	2	96294.033	342421.974	0.017477	0.199313
RP11-173M4	2	97951.43	344079.371	-0.136044	0.033336
RMC02P002	2	97951.43	344079.371	-0.060236	0.072372
RP11-629A22	2	98499.539	344627.48	0.007628	0.056604
RP11-426K3	2	101145.589	347273.53	0.102438	0.033356
RP11-299H21	2	101326.878	347454.819	-0.116054	0.08411
RP11-363N21	2	105966.603	352094.544	0.12955	-0.010424
RP11-8C18	2	106167.771	352295.712	0.055059	0.120702
RP11-95H5	2	106895.113	353023.054	-0.066003	-0.155803
RP11-217P16	2	112751.33	358879.271	0.06258	0.194989
RP11-399B17	2	112961.265	359089.206	0.082251	0.047689
RP11-218F21	2	113093.58	359221.521	0.039648	0.116235
RP11-434I13	2	113472.039	359599.98	NA	0.058978
CTD-2024C11	2	113603.145	359731.086	0.218347	0.009424
RP11-368K23	2	115270.505	361398.446	-0.225464	-0.1308015
RP11-98C1	2	118783.031	364910.972	0.215343	-0.256062
RP11-17N4	2	119928.2	366056.141	NA	0.206951
RP11-393J17	2	120111.533	366239.474	0.273719	0.044863
RP11-132N24	2	120745.481	366873.422	NA	-0.022346
RP11-85B19	2	120809.386	366937.327	0.068382	0.036563
RP11-438O12	2	121007.996	367135.937	0.222862	0.283628
RP11-60M20	2	121920.095	368048.036	0.019917	0.140544
RP11-17O6	2	122393.959	368521.9	0.129194	0.195032
RP11-416H1	2	122458.62	368586.561	0.161139	-0.10556
RP11-498O20	2	122958.74	369086.681	0.052114	-0.147252
RP11-294I11	2	126203.9	372331.841	-0.082135	-0.227003
RP11-505O20	2	127360.929	373488.87	0.125831	NA
RP11-550O23	2	129946.512	376074.453	-0.209215	-0.031415
RP11-1L22	2	133491.888	379619.829	-0.231084	-0.438912
RP11-467A23	2	135329.653	381457.594	0.030526	-0.314049
RP11-442L5	2	137675.581	383803.522	-0.033116	-0.199915
RP11-119N3	2	137698.706	383826.647	-0.15369	-0.334469
RP11-29N17	2	141897.923	388025.864	-0.046981	-0.392243
RP11-224H3	2	144967.073	391095.014	-0.035191	-0.3610075
RP11-67J2	2	145624.752	391752.693	-0.00522	-0.377404
RP11-16J22	2	148460.965	394588.906	-0.028966	-0.399149
BAL02B2599	2	148478.863	394606.804	0.105413	-0.319564
RP11-333M19	2	151527.253	397655.194	0.229506	NA
CTB-11K14	2	151527.253	397655.194	-0.111592	-0.020846
CTD-2018G3	2	151527.253	397655.194	0.034032	-0.3423
RP11-364H22	2	151847.071	397975.012	-0.103264	-0.215292
RP11-13C20	2	151963.533	398091.474	0.0126365	-0.293584
RP11-185M22	2	152865.425	398993.366	0.110131	-0.312312
RP11-17G11	2	153584.395	399712.336	0.134583	-0.331923
RP11-11C17	2	154021.995	400149.936	0.026994	-0.278699
RP11-191I9	2	156485.602	402613.543	-0.166808	-0.336266
CTD-2250B20	2	158734.273	404862.214	0.049238	-0.221711
RP11-292A10	2	160174.891	406302.832	-0.021376	-0.327561
RP11-50J20	2	160851.323	406979.264	0.062797	-0.258444
RP11-39A8	2	168191.363	414319.304	-0.061138	-0.33143
RP11-750D14	2	169889.416	416017.357	0.075401	-0.245928
RP11-141H20	2	170190.254	416318.195	-0.009581	-0.398513
RP11-567N19	2	170584.141	416712.082	0.161373	-0.360449
RP11-218D15	2	171576.8	417704.741	0.119049	-0.344396
RP11-176L20	2	172628.881	418756.822	0.091838	-0.453427
RP11-366L15	2	173618.732	419746.673	-0.065285	-0.198128
RP11-483E17	2	175544.064	421672.005	-0.043788	-0.067951
RP11-61N23	2	175658.832	421786.773	0.122686	-0.276859
RP11-12N7	2	176227.448	422355.389	-0.071361	-0.335562
RP11-279N12	2	177899.478	424027.419	0.070611	-0.350975
RP11-250B10	2	179858.768	425986.709	-0.005558	-0.369509
RP11-30N9	2	180831.932	426959.873	0.224342	-0.061943
RP11-69G4	2	183149.205	429277.146	-0.165517	NA
RP11-67G7	2	183182.638	429310.579	0.076032	-0.043728
RP11-598C21	2	184022.836	430150.777	0.004439	-0.183086
RP11-38I11	2	184694.525	430822.466	-0.030338	-0.265619
RP11-341A4	2	188269.279	434397.22	-0.201379	-0.35369
RP11-270G18	2	190503.277	436631.218	0.041264	0.081879
RP11-16H9	2	190966.112	437094.053	-0.028737	-0.075539
RP11-284E5	2	191656.257	437784.198	0.0163225	-0.10235
RP11-629B4	2	192042.936	438170.877	-0.192271	-0.24045
RP11-30M1	2	195683.419	441811.36	0.02691	-0.422345
RP11-34N13	2	199172.775	445300.716	-0.158288	-0.407468
RP11-57C6	2	201830.645	447958.586	0.244328	-0.229581
RP11-536I18	2	202183.432	448311.373	-0.216739	NA
RP11-329O10	2	203859.904	449987.845	0.066463	-0.207474
BAL02B2601	2	205400.439	451528.38	0.428023	-0.393188
RP11-225L15	2	207593.225	453721.166	-0.031102	-0.297922
RP11-13N10	2	208848.565	454976.506	NA	-0.184647
RP11-300D24	2	212384.598	458512.539	0.007077	-0.503948
CTD-2149J10	2	212449.356	458577.297	-0.011573	-0.469978
CTD-2067J6	2	212454.864	458582.805	0.482233	-0.139722
RP11-560C24	2	213655.269	459783.21	0.078169	0.144933
RP11-804M4	2	216338.155	462466.096	0.345962	-0.295583
RP11-504L12	2	217012.574	463140.515	-0.068329	-0.112487
RP11-4B6	2	218461.33	464589.271	0.117663	-0.252414
RP11-53G6	2	220994.81	467122.751	-0.028893	NA
RP11-23G2	2	222127.906	468255.847	-0.013023	NA
RP11-92G23	2	222715.804	468843.745	0.251197	2.590429
RP11-247E23	2	223880.099	470008.04	-0.154078	-0.393658
RP11-183N7	2	224789.796	470917.737	-0.044337	-0.265554
RP11-68H19	2	225794.796	471922.737	-0.062239	-0.39136
RP11-311C14	2	230890.552	477018.493	-0.097501	-0.249418
RP11-69J7	2	231332.275	477460.216	0.052665	-0.079705
RP11-71H20	2	232439.912	478567.853	-0.045399	-0.283571
RP11-188B21	2	233910.313	480038.254	-0.205566	-0.251261
RP11-400N9	2	234356.494	480484.435	0.319189	-0.132957
CTD-2221F19	2	234356.494	480484.435	-0.000273	-0.16224
RP11-21K1	2	235977.578	482105.519	-0.193084	NA
BAL02B2603	2	238365.146	484493.087	0.484167	-0.510557
RP11-118M12	2	241893.563	488021.504	0.035886	-0.112191
CTB-172I13	2	243615.958	489643.899	0.050596	-0.179222
CTB-228K22	3	0.001	489743.899	0.164199	0.245801
RP11-129K1	3	2132.132	491876.031	-0.008782	0.214316
RP11-32F23	3	4054.925	493798.824	0.14337	-0.377282
RP11-28P14	3	6776.225	496520.124	0.201339	0.89045
RP4-605K1	3	8160.756	497904.655	0.479303	-0.026685
RP11-128A5	3	8686.925	498430.824	0.275398	-0.248763
RMC03P052	3	10157.819	499901.718	0.214343	-0.127716
CTB-110J24	3	10158.318	499902.217	0.32505	-0.302531
RP11-175G7	3	11492.246	501236.145	0.205213	-0.186441
GS1-98-L2	3	12600.107	502344.006	0.216688	-0.165016
RP11-275J11	3	12600.107	502344.006	-0.149587	-0.222433
CTD-2035K18	3	12600.107	502344.006	0.397865	-0.209357
RP11-271E2	3	13853.192	503597.091	0.243932	0.364811
RMC03P002	3	14460.134	504204.033	-0.402655	0.037413
RP11-279L16	3	15170.5	504914.399	0.37892	-0.258147
RP11-255O19	3	15780.357	505524.256	0.232406	-0.170187
RP11-80D24	3	17262.787	507006.686	-0.624973	-0.353205
RP11-208G16	3	22372.589	512116.488	-0.014894	0.228935
RP11-245E5	3	22735.127	512479.026	0.155057	0.467835
RP11-41F5	3	23710.063	513453.962	-0.419833	-0.252765
RP11-51D22	3	24198.962	513942.861	NA	0.357758
RMC03P060	3	25444.866	515188.765	-0.402796	-0.343257
RP11-11L6	3	28645.872	518389.771	0.075133	0.244169
RP11-103N21	3	29867.224	519611.123	-0.024079	0.24749
RP11-1024P17	3	30623.285	520367.184	-0.080112	0.23668
CTD-2132L9	3	38009.631	527753.53	-0.111857	1.587185
RP11-209O16	3	38237.561	527981.46	-0.185715	1.106032
RP5-939A11	3	41125.969	530869.868	-0.743824	NA
RP11-527M19	3	41201.587	530945.486	-0.63425	-0.375517
RP11-333B11	3	42259.907	532003.806	-0.779963	-0.279284
RP11-241P3	3	42269.952	532013.851	0.094894	0.461292
RP11-119L2	3	42435.367	532179.266	-0.558013	-0.178809
RP5-1059I15	3	43081.314	532825.213	-0.553831	0.060766
RP11-189H19	3	44574.369	534318.268	-0.493127	-0.370098
RP11-111P21	3	45300.996	535044.895	-0.441018	-0.327379
CTB-35K18	3	48160.639	537904.538	NA	-0.142077
RP11-3B7	3	49206.558	538950.457	-0.668262	0.163529
RP4-690P14	3	49334.635	539078.534	-0.315529	-0.326826
RP11-949J7	3	49377.339	539121.238	-0.485797	-0.111294
RP11-78O10	3	49883.447	539627.346	-0.169368	-0.184894
CTD-2198A23	3	50085.379	539829.278	-0.396272	-0.046393
CTD-2109N6	3	50292.845	540036.744	-0.371074	-0.002281
RP11-804H8	3	50517.664	540261.563	NA	-0.180191
RP11-801L18	3	52393.497	542137.396	-0.714675	-0.12416
RP11-865O5	3	52540.406	542284.305	-0.323964	-0.445292
RMC03P049	3	53217.013	542960.912	3.260807	-0.184395
CTD-2199G5	3	53486.423	543230.322	-0.562759	-0.258749
RP11-122D19	3	53989.696	543733.595	-0.456375	-0.35073
RP11-189K9	3	54679.048	544422.947	-0.510348	-0.323341
RP11-39L1	3	55786.245	545530.144	-0.377157	-0.432373
RP11-169G24	3	56153.856	545897.755	-0.415598	-0.413672
RP11-120C2	3	57322.595	547066.494	-0.038066	-0.136026
RP11-229A12	3	57352.741	547096.64	-0.209739	-0.136814
RP11-79K12	3	58804.517	548548.416	-0.079126	-0.322491
RP11-180G14	3	59520.853	549264.752	-0.533819	-0.389556
RP11-888J3	3	59690.312	549434.211	0.247609	-0.469177
RP11-94D19	3	60739.189	550483.088	-0.540953	-0.503621
CTB-187K3	3	62499.927	552243.826	-0.120389	-0.56425
RP11-108A8	3	63284.443	553028.342	1.300056	-0.266238
RP11-129B22	3	63995.48	553739.379	2.793784	-0.322771
RP11-146E16	3	67589.899	557333.798	-0.108784	-0.357865
RP11-154H23	3	71460.642	561204.541	-0.081665	-0.334123
CTD-2219E18	3	72347.163	562091.062	0.134755	0.047013
RP11-383I23	3	100790.574	590534.473	-0.007685	-0.321396
CTD-2014B13	3	100809.722	590553.621	-0.019764	-0.367736
RP11-129G16	3	101972.863	591716.762	0.037321	0.020554
RP11-69N24	3	106038.941	595782.84	-0.131302	-0.39953
RP11-166C10	3	109807.683	599551.582	-0.136614	-0.214938
RP11-12P11	3	112583.871	602327.77	-0.060376	-0.162367
RP11-79H17	3	112923.71	602667.609	NA	-0.142753
RP11-153K19	3	113987.552	603731.451	0.433447	0.119883
RP11-5K13	3	114257.708	604001.607	0.095909	-0.201272
RMC03P043	3	115168.539	604912.438	0.08198	-0.022822
RP11-214A5	3	116445.054	606188.953	-0.089841	-0.344689
RP11-220G20	3	118469.313	608213.212	-0.028754	-0.269835
RP11-165B13	3	118922.648	608666.547	-0.121866	-0.330488
RP11-233L3	3	119309.123	609053.022	-0.003085	-0.27858
RP11-169N13	3	120764.69	610508.589	0.150697	-0.192185
RP11-79M2	3	123223.43	612967.329	0.295067	-0.278926
RP11-299J3	3	123364.995	613108.894	0.064971	NA
RP11-95H16	3	125400.61	615144.509	0.098218	-0.213568
RP11-205A6	3	127264.797	617008.696	0.021405	NA
RP11-59J16	3	128437.678	618181.577	0.099663	-0.284007
RP11-427I6	3	128638.161	618382.06	-0.065327	NA
RP11-221E20	3	129829.965	619573.864	0.091395	-0.162969
RMC03P047	3	130209.34	619953.239	0.061006	-0.106094
CTD-2121C12	3	130570.234	620314.133	0.03606	-0.093043
RP11-21N8	3	131589.361	621333.26	-0.394972	-0.367494
RP11-517B11	3	132501.964	622245.863	-0.055678	-0.307676
RP11-156E16	3	132728.541	622472.44	0.115284	-0.348557
RP11-4I2	3	132766.585	622510.484	-0.023161	-0.317515
CTC-233H16	3	132900.954	622644.853	-0.3376415	-0.284208
RP11-446K3	3	132921.93	622665.829	0.008893	-0.309083
RP11-392H1	3	133021.635	622765.534	-0.012491	-0.381737
RP11-45K15	3	133289.778	623033.677	0.016115	-0.242747
RP11-250B16	3	133307.818	623051.717	-0.005747	-0.456315
RP11-65E22	3	133357.167	623101.066	0.066706	-0.146118
RP11-336E10	3	133532.208	623276.107	-0.049852	-0.237374
RP11-333H9	3	133556.987	623300.886	-0.024784	-0.283893
RP11-48F15	3	133660.805	623404.704	-0.050371	-0.17216
RP11-39E4	3	133797.029	623540.928	-0.014697	-0.260326
RP11-79L21	3	133960.244	623704.143	-0.040416	-0.305281
RP11-113N11	3	134026.375	623770.274	0.142111	NA
